Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestVisual2,Chrome 108.0.0.0,,,2022-12-22 11:35:43,2022-12-22 11:36:39,56.768s,PASSED
,,,,,,,
Test Cases/Test10,Chrome 108.0.0.0,,,2022-12-22 11:35:43,2022-12-22 11:35:53,10.569s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-22 11:35:43,2022-12-22 11:35:45,1.975s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 108.0.0.0,,,2022-12-22 11:35:45,2022-12-22 11:35:46,1.253s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 108.0.0.0,,,2022-12-22 11:35:46,2022-12-22 11:35:47,1.096s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 108.0.0.0,,,2022-12-22 11:35:47,2022-12-22 11:35:48,0.522s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), Keys.chord(ENTER))",Chrome 108.0.0.0,,,2022-12-22 11:35:48,2022-12-22 11:35:48,0.337s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/i_Dashboard_oxd-icon bi-caret-down-fill oxd_d2fd49""))",Chrome 108.0.0.0,,,2022-12-22 11:35:48,2022-12-22 11:35:51,2.513s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 108.0.0.0,,,2022-12-22 11:35:51,2022-12-22 11:35:52,1.005s,PASSED
"takeScreenshotAsCheckpoint(""Test10"")",Chrome 108.0.0.0,,,2022-12-22 11:35:52,2022-12-22 11:35:53,0.958s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-22 11:35:53,2022-12-22 11:35:53,0.637s,PASSED
,,,,,,,
Test Cases/Test5,Chrome 108.0.0.0,,,2022-12-22 11:35:53,2022-12-22 11:36:02,8.089s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-22 11:35:54,2022-12-22 11:35:55,1.144s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 108.0.0.0,,,2022-12-22 11:35:55,2022-12-22 11:35:56,1.502s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 108.0.0.0,,,2022-12-22 11:35:56,2022-12-22 11:35:57,0.986s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 108.0.0.0,,,2022-12-22 11:35:57,2022-12-22 11:35:58,0.502s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-22 11:35:58,2022-12-22 11:35:58,0.354s,PASSED
"takeScreenshotAsCheckpoint(""Test5"")",Chrome 108.0.0.0,,,2022-12-22 11:35:58,2022-12-22 11:36:01,2.771s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-22 11:36:01,2022-12-22 11:36:02,0.626s,PASSED
,,,,,,,
Test Cases/Test6,Chrome 108.0.0.0,,,2022-12-22 11:36:02,2022-12-22 11:36:10,8.891s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-22 11:36:02,2022-12-22 11:36:03,1.163s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 108.0.0.0,,,2022-12-22 11:36:03,2022-12-22 11:36:04,1.160s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 108.0.0.0,,,2022-12-22 11:36:04,2022-12-22 11:36:05,1.192s,PASSED
